survey_wave,total_savings_final,durables_final,hogar_id,pesoEFHU,household_income_q,income_q,d_income_ratio,d_wealth_ratio,adj_ratio
1,,0,,333,0,1,,,
1,,0,,333,0,1,,,
1,,0,,308,0,1,,,
1,,0,,308,0,1,,,
1,,6000,,231,0,1,,,
1,,6000,,231,0,1,,,
1,,8000,,203,0,1,,,
1,,8000,,203,0,1,,,
1,,8000,,203,0,1,,,
1,,0,,238,0,1,,,
1,,142000,,224,0,1,,,
1,,142000,,224,0,1,,,
1,,50000,,316,0,1,,,
1,,40000,,203,0,1,,,
1,,30000,,187,0,1,,,
1,,30000,,187,0,1,,,
1,,128500,,204,0,1,,,
1,,128500,,204,0,1,,,
1,,128500,,204,0,1,,,
1,,0,,255,0,1,,,
1,,0,,255,0,1,,,
1,,14000,,266,0,1,,,
1,,0,,266,0,1,,,
1,,0,,193,0,1,,,
1,,0,,193,0,1,,,
1,,0,,193,0,1,,,
1,,92000,,226,0,1,,,
1,,0,,266,0,1,,,
1,,0,,211,0,1,,,
1,,600,,406,0,1,,,
1,,600,,406,0,1,,,
1,,600,,406,0,1,,,
1,,100000,,314,0,1,,,
1,,100000,,314,0,1,,,
1,,100000,,314,0,1,,,
1,,8000,,318,0,1,,,
1,,12000,,320,0,1,,,
1,,12000,,320,0,1,,,
1,,12000,,320,0,1,,,
1,,12000,,320,0,1,,,
1,,12000,,320,0,1,,,
1,,0,,333,0,1,,,
1,,16500,,332,0,1,,,
1,,0,,247,0,1,,,
1,,0,,247,0,1,,,
1,,0,,247,0,1,,,
1,,0,,313,0,1,,,
1,,0,,158,0,1,,,
1,,0,,158,0,1,,,
1,,0,,335,0,1,,,
1,,0,,335,0,1,,,
1,,0,,335,0,1,,,
1,,2000,,239,0,1,,,
1,,2000,,239,0,1,,,
1,,2000,,239,0,1,,,
1,,2000,,239,0,1,,,
1,,2000,,239,0,1,,,
1,,0,,273,0,1,,,
1,,0,,273,0,1,,,
1,,19000,,383,0,1,,,
1,,19000,,383,0,1,,,
1,,19000,,383,0,1,,,
1,,163000,,235,0,1,,,
1,,163000,,235,0,1,,,
1,,87000,,194,0,1,,,
1,,2000,,217,0,1,,,
1,,2000,,217,0,1,,,
1,,2000,,217,0,1,,,
1,,0,,290,0,1,,,
1,,0,,264,0,1,,,
